Group,expgroup,nextDayCFU,Otu001,Otu003,Otu016,Otu004,Otu014,Otu005,Otu009,Otu007,Otu006,Otu002,Otu033,Otu008,Otu043,Otu015,Otu035,Otu013,Otu020,Otu018,Otu025,Otu034,Otu024,Otu021,Otu039,Otu022,Otu059,Otu027,Otu030,Other
103-1-D0,8metro1,18300000,0.003462,0.009615,0.001615,0.135769,0.002231,0.005308,0.001,0.415154,0.001615,0.001,0.001,0.001,0.001,0.002231,0.001,0.367769,0.001,0.041,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.62E-02
103-2-D0,8metro1,38300000,0.007769,0.010846,0.001,0.235462,0.018846,0.005308,0.001,0.006538,0.001615,0.001615,0.002231,0.001,0.001,0.001,0.001,0.674231,0.001,0.038538,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008386
103-3-D0,8metro1,43800000,0.021308,0.026231,0.001,0.245923,0.008385,0.011462,0.001,0.048385,0.002846,0.002231,0.001615,0.001,0.001615,0.001,0.001,0.569615,0.001,0.065,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007153
047-1D0,5strep5,72000000,0.436077,0.001615,0.001,0.001,0.001,0.322231,0.121615,0.088385,0.008385,0.013923,0.001,0.001,0.001,0.001,0.001,0.001,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007769
047-2D0,5strep5,73000000,0.409615,0.002231,0.001,0.002231,0.001,0.290846,0.145,0.084692,0.018846,0.026846,0.001,0.001615,0.001,0.001,0.001,0.001,0.005923,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.023155
047-3D0,5strep5,27000000,0.438538,0.001,0.001,0.001,0.001,0.220692,0.170846,0.115462,0.029923,0.006538,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.02377
627-1D0,5strep5,3.40E+07,0.193615,0.620077,0.001,0.009615,0.001,0.001,0.001,0.178231,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.62E-03
627-2D0,5strep5,3.46E+07,0.311769,0.439769,0.001,0.026231,0.001,0.001,0.001,0.217615,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.00E-03
627-3D0,5strep5,1.01E+08,0.122231,0.722231,0.001,0.005923,0.001,0.001,0.001,0.150538,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002231
627-4D0,5strep5,5.70E+07,0.170231,0.629923,0.001,0.013923,0.001,0.001,0.001,0.185,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.85E-03
627-5D0,5strep5,7.00E+07,0.372077,0.522231,0.001,0.012077,0.001,0.001615,0.001,0.090231,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5.31E-03
004-1D0,3clinda,60000000,0.008385,0.004077,0.001,0.270538,0.001,0.001615,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.716077,0.001,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.85E-03
004-2D0,3clinda,7300000,0.004077,0.012692,0.001,0.135769,0.001615,0.002231,0.001,0.004692,0.002846,0.001615,0.001,0.001615,0.001,0.001,0.001,0.834846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009002
004-359D0,3clinda,23300000,0.003462,0.004692,0.002231,0.186231,0.001615,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.797308,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009
004-4D0,3clinda,110000,0.003462,0.003462,0.001615,0.131462,0.001615,0.002231,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.859462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.08E-03
015-1D0,2cipro,0,0.604077,0.004077,0.004077,0.017,0.001,0.011462,0.002231,0.049,0.058846,0.193,0.020077,0.004077,0.001,0.002846,0.026231,0.001615,0.010231,0.001615,0.002231,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.004692
015-2D0,2cipro,0,0.604077,0.159769,0.001615,0.005923,0.001,0.002231,0.022538,0.049615,0.033615,0.063154,0.027462,0.010231,0.001,0.005308,0.007154,0.001,0.004077,0.004077,0.004692,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.010847
015-3D0,2cipro,0,0.591769,0.210846,0.013923,0.012077,0.001,0.025,0.015769,0.038538,0.010846,0.021308,0.002231,0.016385,0.013923,0.013923,0.001,0.001,0.002231,0.014538,0.002231,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.010847
052-1-D0,3clinda,57000000,0.001,0.001615,0.001,0.029923,0.001,0.001615,0.001,0.001615,0.001,0.002231,0.001,0.001615,0.001,0.002231,0.001,0.965308,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,2.23E-03
052-2-D0,3clinda,38000000,0.001615,0.001,0.001,0.017615,0.001,0.001615,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.979462,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.003463
052-3-D0,3clinda,21000000,0.002231,0.001,0.001,0.013308,0.002846,0.002846,0.001,0.001,0.003462,0.001615,0.001,0.001,0.001,0.001,0.001,0.978846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.002231
052-4-D0,3clinda,86000000,0.002231,0.001615,0.001615,0.013923,0.002231,0.005308,0.001,0.002231,0.005923,0.001615,0.001,0.001615,0.001,0.001,0.001,0.958538,0.001,0.001,0.001,0.002846,0.001615,0.001,0.001,0.002231,0.001,0.001,0.001,0.011463
097-2-D0,2cipro,0,0.597923,0.068077,0.001615,0.090846,0.001615,0.070538,0.001615,0.033615,0.047154,0.061308,0.002231,0.006538,0.001,0.001,0.005923,0.002846,0.016385,0.001615,0.002231,0.002846,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.003464
097-3-D0,2cipro,0,0.612692,0.157923,0.001,0.069308,0.001,0.013923,0.001615,0.030538,0.007154,0.035462,0.001,0.005308,0.001,0.002231,0.004077,0.001615,0.005308,0.056385,0.001615,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.010231
098-1-D0,3clinda,30700000,0.017615,0.023154,0.002231,0.060077,0.001615,0.013308,0.002846,0.002231,0.006538,0.007154,0.001,0.002846,0.001,0.001,0.001,0.847154,0.001,0.001615,0.002846,0.001615,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.02254
098-2-D0,3clinda,34100000,0.012692,0.014538,0.002231,0.060077,0.001,0.013923,0.001615,0.001615,0.003462,0.004077,0.001,0.003462,0.001,0.001615,0.001,0.879769,0.001,0.001615,0.002231,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.011463
